ID,A1,A2,A3,A4,B1,B2,B3,B4,B5,B6,B7,C1-1,C1-2,C1-3,C1-4,C2-1,C2-2,C2-3,C3-1,C3-2,C3-3,C4-1,C4-2,C4-3,C5-1,C5-2,C6-1,C6-2,C6-3,C6-4,C6-5,D1,D2,D3,D4,D5,D6,D7,D8,D9,E1,E2,E3,E4,F1,F2,F3,F4,F5,F6
107,3,1,1,.,2,.,6,2,2,1,1,2,2,2,2,3,2,2,3,3,3,2,2,2,3,2,3,3,2,2,2,3,.,.,1,.,.,.,2,2,3,5,3,1,2,1,1,1,2,1
108,4,1,1,.,2,.,2,2,1,4,1,3,3,3,2,4,4,3,4,3,2,3,3,2,3,4,3,2,1,2,2,2,.,2,.,.,.,.,4,2,2,5,3,3,2,2,3,2,1,4
109,1,1,2,.,2,.,1,1,2,2,1,3,1,1,1,1,1,1,3,4,2,3,2,1,3,2,2,3,3,2,3,2,.,2,.,.,.,.,1,1,4,3,1,2,2,1,1,3,1,4
110,3,1,1,2,3,1,.,2,1,4,1,3,2,1,1,3,3,3,3,3,3,2,3,2,3,3,3,4,2,2,2,2,.,2,.,.,.,.,4,2,2,5,2,1,2,2,4,2,2,5
111,3,1,1,.,2,.,1,1,2,3,1,2,1,2,1,3,2,1,2,2,3,2,1,1,3,1,2,3,2,3,2,2,.,1,.,.,.,.,1,1,4,5,4,1,1,3,4,2,1,1
112,3,1,1,2,4,1,.,1,2,4,1,3,2,2,2,3,3,3,3,2,1,3,3,3,3,3,4,2,1,2,2,2,.,2,.,.,.,.,1,1,2,3,2,2,1,1,1,1,2,1
113,5,3,2,3,2,.,2,2,1,2,1,3,1,1,1,2,2,1,2,3,2,1,2,1,3,1,3,3,3,3,2,1,1,.,.,.,.,.,1,1,2,5,3,1,1,1,1,2,1,5
114,2,1,1,.,3,2,.,1,2,2,2,3,1,1,1,2,3,1,2,1,3,1,1,1,4,1,1,1,2,1,1,2,.,2,.,.,.,.,1,1,4,2,2,1,1,2,2,3,2,5
115,5,1,2,3,1,.,1,2,1,3,1,3,1,1,2,3,3,1,4,3,2,2,3,3,4,3,3,3,2,2,2,2,.,4,.,.,.,.,1,2,2,5,4,2,1,1,1,1,2,2
116,5,1,2,.,2,.,1,2,2,3,1,2,2,3,2,3,2,2,3,2,3,3,2,2,3,1,4,3,3,2,1,2,.,6,.,.,.,.,1,1,7,3,5,4,1,3,4,3,1,1
